 Forrest Goodluck,2015,1
 Paul Anderson,2015,1
 Kristoffer Joner,2015,1
 Joshua Burge,2015,1
 Duane Howard,2015,1
 Melaw Nakehk'o,2015,1
 Fabrice Adde,2015,1
 Arthur RedCloud,2015,1
 Christopher Rosamond,2015,1
 Robert Moloney,2015,1
 Brendan Fletcher,2015,1
